times,C_5,C_10,C_20,C_30,C_40,C_50,SvN,chi
0.05,0.0,1.212228549285483731580580834069459786838734485159313028509329874340955888467229e-38,1.212228549285483731580580834069459786838734485159313028509329874340955888467229e-38,1.212228549285483731580580834069459786838734485159313028509329874340955888467229e-38,1.212228549285483731580580834069459786838734485159313028509329874340955888467229e-38,1.212228549285483731580580834069459786838734485159313028509329874340955888467229e-38,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.007549372405647161, 0.0, 0.007549372167346603, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0]",2
0.1,3.673419846319656619032886676975176131050966435597218131170171668328238634091592e-40,-0.0,-0.0,-0.0,-0.0,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.02515428095051481, -1.1102230246251565e-16, 0.02515428026476926, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0]",3
0.15,1.18008612563018889563199045390763755387999531093654408471563752694170069929268e-38,5.473395571016283517320433659788551352872563866053294907329094169601413854008904e-38,5.473395571016283517320433659788551352872563866053294907329094169601413854008904e-38,5.473395571016283517320433659788551352872563866053294907329094169601413854008904e-38,5.473395571016283517320433659788551352872563866053294907329094169601413854008904e-38,5.473395571016283517320433659788551352872563866053294907329094169601413854008904e-38,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.049881945486839004, 2.280681421495956e-9, 0.049881944223741315, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3
0.2,2.941605736310663825648454739471623995136456976244248749469547424301306751137905e-39,2.938735877055722685104522142170330220723129445858752224470434107075971803818691e-39,2.938735877055722685104522142170330220723129445858752224470434107075971803818691e-39,2.938735877055722685104522142170330220723129445858752224470434107075971803818691e-39,2.938735877055722685104522142170330220723129445858752224470434107075971803818691e-39,2.938735877055722685104522142170330220723129445858752224470434107075971803818691e-39,"[-1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.045471501677116e-9, 0.0, 0.0800907845172547, 8.705466369995918e-8, 0.08009078262211017, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4
0.25,-0.0,1.836709923159825862527267839040890549165192246593275677648489058301663907557125e-39,1.836709923159825862527267839040890549165192246593275677648489058301663907557125e-39,1.836709923159825862527267839040890549165192246593275677648489058301663907557125e-39,1.836709923159825862527267839040890549165192246593275677648489058301663907557125e-39,1.836709923159825862527267839040890549165192246593275677648489058301663907557125e-39,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7111921696930257e-6, 2.6459715165572106e-6, 0.11457641835332646, 6.538240389097894e-7, 0.11457641166115182, 8.708103587107274e-7, 9.107530472947178e-7, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0]",6
0.30000000000000004,0.0,1.836709923159822273609810439852400858503432155492120042008147120370062640307075e-39,1.836709923159822273609810439852400858503432155492120042008147120370062640307075e-39,1.836709923159822273609810439852400858503432155492120042008147120370062640307075e-39,1.836709923159822273609810439852400858503432155492120042008147120370062640307075e-39,1.836709923159822273609810439852400858503432155492120042008147120370062640307075e-39,"[0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4872405812120569e-5, 1.4505962209421241e-5, 0.15236867341312507, 2.901368929997261e-6, 0.15236862612227553, 1.0032272901083772e-5, 1.0321743813006647e-5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, -1.1102230246251565e-16, 0.0, -1.1102230246251565e-16, 0.0]",6
0.35000000000000003,6.658073471454360227982384593450565225402141677535379696829960733755978655175708e-39,8.862125379246155830728233599266802581606248853030599500823128251994558775289777e-39,8.862125379246155830728233599266802581606248853030599500823128251994558775289777e-39,8.862125379246155830728233599266802581606248853030599500823128251994558775289777e-39,8.862125379246155830728233599266802581606248853030599500823128251994558775289777e-39,8.862125379246155830728233599266802581606248853030599500823128251994558775289777e-39,"[0.0, 0.0, -1.1102230246251565e-16, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 4.5726205332471196e-5, 4.435768603960888e-5, 0.19264977288753657, 9.603903630361899e-6, 0.19264961725246563, 3.665519892814828e-5, 3.784844697749709e-5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6
0.4,3.512707728043168409885328579338332539124935662906128654698555083053885007150465e-39,0.0,0.0,0.0,0.0,0.0,"[-1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00010895155397904414, 0.00010493238310438358, 0.23471439884252426, 2.6270469804634544e-5, 0.2347140520217392, 9.346585095504345e-5, 9.714613040855144e-5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0]",6
0.45,0.0,5.188705532926501495551910721775210799158220657225025865060446907804611856720945e-39,5.188705532926501495551910721775210799158220657225025865060446907804611856720945e-39,5.188705532926501495551910721775210799158220657225025865060446907804611856720945e-39,5.188705532926501495551910721775210799158220657225025865060446907804611856720945e-39,5.188705532926501495551910721775210799158220657225025865060446907804611856720945e-39,"[-1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002233154556853283, 0.000213285372500982, 0.2779480412740785, 6.265455415133125e-5, 0.27794741889623253, 0.00019756174255824988, 0.00020700503257096563, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6
0.5,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, -1.1102230246251565e-16, 0.0, -1.1102230246251565e-16, 0.0, -1.1102230246251565e-16, 0.0, -1.1102230246251565e-16, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00041319705319234655, 0.00039098973741347187, 0.3218144150828285, 0.00013455661914152373, 0.321813442382919, 0.0003705842611985144, 0.0003918550543639291, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6
