times,C_5,C_10,C_20,C_30,C_40,C_50,C_60,C_70,C_80,C_90,chi
0.05,1.231278873709428999661075542481578951295675435203755276880599467403953894972801e-16,8.071952096186587527886056508362078821691231958089171594217248184577329084277153e-17,8.071952096186587527886056508362078821691231958089171594217248184577329084277153e-17,8.071952096186587527886056508362078821691231958089171594217248184577329084277153e-17,8.071952096186587527886056508362078821691231958089171594217248184577329084277153e-17,8.071952096186587527886056508362078821691231958089171594217248184577329084277153e-17,8.071952096186587527886056508362078821691231958089171594217248184577329084277153e-17,8.071952096186587527886056508362078821691231958089171594217248184577329084277153e-17,8.071952096186587527886056508362078821691231958089171594217248184577329084277153e-17,8.071952096186587527886056508362078821691231958089171594217248184577329084277153e-17,4
0.1,1.231295673428818043700575485067045602952992132839843408831370652478653937578201e-16,8.072022983616471161755124229963532167019208616838901737544631487253354862332344e-17,8.072022983616471161755124229963532167019208616838901737544631487253354862332344e-17,8.072022983616471161755124229963532167019208616838901737544631487253354862332344e-17,8.072022983616471161755124229963532167019208616838901737544631487253354862332344e-17,8.072022983616471161755124229963532167019208616838901737544631487253354862332344e-17,8.072022983616471161755124229963532167019208616838901737544631487253354862332344e-17,8.072022983616471161755124229963532167019208616838901737544631487253354862332344e-17,8.072022983616471161755124229963532167019208616838901737544631487253354862332344e-17,8.072022983616471161755124229963532167019208616838901737544631487253354862332344e-17,4
0.15,1.231323496433309502129528285119070666594645157686932490648246130149345844984055e-16,8.072140427994400060885465141514335044629729188194258715505213785945670679211617e-17,8.072140427994400060885465141514335044629729188194258715505213785945670679211617e-17,8.072140427994400060885465141514335044629729188194258715505213785945670679211617e-17,8.072140427994400060885465141514335044629729188194258715505213785945670679211617e-17,8.072140427994400060885465141514335044629729188194258715505213785945670679211617e-17,8.072140427994400060885465141514335044629729188194258715505213785945670679211617e-17,8.072140427994400060885465141514335044629729188194258715505213785945670679211617e-17,8.072140427994400060885465141514335044629729188194258715505213785945670679211617e-17,8.072140427994400060885465141514335044629729188194258715505213785945670679211617e-17,4
0.2,1.231362095809093188491974485138421239304996846961048895252588408766314387321472e-16,8.072303447799895937736199537142323978159848241707707838799024102627299726009369e-17,8.072303447799895937736199537142323978159848241707707838799024102627299726009369e-17,8.072303447799895937736199537142323978159848241707707838799024102627299726009369e-17,8.072303447799895937736199537142323978159848241707707838799024102627299726009369e-17,8.072303447799895937736199537142323978159848241707707838799024102627299726009369e-17,8.072303447799895937736199537142323978159848241707707838799024102627299726009369e-17,8.072303447799895937736199537142323978159848241707707838799024102627299726009369e-17,8.072303447799895937736199537142323978159848241707707838799024102627299726009369e-17,8.072303447799895937736199537142323978159848241707707838799024102627299726009369e-17,4
0.25,1.231411138346903681817933256168050134069342848404035595244465639552799984812737e-16,8.072510718528778817392154636237886695095983420871615932057352438278030604124069e-17,8.072510718528778817392154636237886695095983420871615932057352438278030604124069e-17,8.072510718528778817392154636237886695095983420871615932057352438278030604124069e-17,8.072510718528778817392154636237886695095983420871615932057352438278030604124069e-17,8.072510718528778817392154636237886695095983420871615932057352438278030604124069e-17,8.072510718528778817392154636237886695095983420871615932057352438278030604124069e-17,8.072510718528778817392154636237886695095983420871615932057352438278030604124069e-17,8.072510718528778817392154636237886695095983420871615932057352438278030604124069e-17,8.072510718528778817392154636237886695095983420871615932057352438278030604124069e-17,4
0.30000000000000004,1.231470206047881592461416582901139170180579120649974611545474090235074982047081e-16,8.072760574533185098991874619576819005296014323831005343734545931511092931032181e-17,8.072760574533185098991874619576819005296014323831005343734545931511092931032181e-17,8.072760574533185098991874619576819005296014323831005343734545931511092931032181e-17,8.072760574533185098991874619576819005296014323831005343734545931511092931032181e-17,8.072760574533185098991874619576819005296014323831005343734545931511092931032181e-17,8.072760574533185098991874619576819005296014323831005343734545931511092931032181e-17,8.072760574533185098991874619576819005296014323831005343734545931511092931032181e-17,8.072760574533185098991874619576819005296014323831005343734545931511092931032181e-17,8.072760574533185098991874619576819005296014323831005343734545931511092931032181e-17,5
0.35000000000000003,1.231538801259898684991342257616594006482519757473756416565890958736417815089226e-16,8.07305103271496047061479152294753784952596975489289010674553992430446669459343e-17,8.07305103271496047061479152294753784952596975489289010674553992430446669459343e-17,8.07305103271496047061479152294753784952596975489289010674553992430446669459343e-17,8.07305103271496047061479152294753784952596975489289010674553992430446669459343e-17,8.07305103271496047061479152294753784952596975489289010674553992430446669459343e-17,8.07305103271496047061479152294753784952596975489289010674553992430446669459343e-17,8.07305103271496047061479152294753784952596975489289010674553992430446669459343e-17,8.07305103271496047061479152294753784952596975489289010674553992430446669459343e-17,8.07305103271496047061479152294753784952596975489289010674553992430446669459343e-17,6
0.4,1.231616349755603397435953054802743418979027939042306116768088486423948779702187e-16,8.073379800954436535960773493700264264061744874613132938456772080826340243220329e-17,8.073379800954436535960773493700264264061744874613132938456772080826340243220329e-17,8.073379800954436535960773493700264264061744874613132938456772080826340243220329e-17,8.073379800954436535960773493700264264061744874613132938456772080826340243220329e-17,8.073379800954436535960773493700264264061744874613132938456772080826340243220329e-17,8.073379800954436535960773493700264264061744874613132938456772080826340243220329e-17,8.073379800954436535960773493700264264061744874613132938456772080826340243220329e-17,8.073379800954436535960773493700264264061744874613132938456772080826340243220329e-17,8.073379800954436535960773493700264264061744874613132938456772080826340243220329e-17,6
0.45,1.231702206174960566943698693261396722914919395642369126520065947261173278093338e-16,8.073744300335031283854649725568679455266936226742399695943674942100187763571739e-17,8.073744300335031283854649725568679455266936226742399695943674942100187763571739e-17,8.073744300335031283854649725568679455266936226742399695943674942100187763571739e-17,8.073744300335031283854649725568679455266936226742399695943674942100187763571739e-17,8.073744300335031283854649725568679455266936226742399695943674942100187763571739e-17,8.073744300335031283854649725568679455266936226742399695943674942100187763571739e-17,8.073744300335031283854649725568679455266936226742399695943674942100187763571739e-17,8.073744300335031283854649725568679455266936226742399695943674942100187763571739e-17,8.073744300335031283854649725568679455266936226742399695943674942100187763571739e-17,6
0.5,1.231795659262195514616056004257415393355922964653201279183747374190716072916985e-16,8.074141684455723920106287224069184509871590987254569293796180318167898803949356e-17,8.074141684455723920106287224069184509871590987254569293796180318167898803949356e-17,8.074141684455723920106287224069184509871590987254569293796180318167898803949356e-17,8.074141684455723920106287224069184509871590987254569293796180318167898803949356e-17,8.074141684455723920106287224069184509871590987254569293796180318167898803949356e-17,8.074141684455723920106287224069184509871590987254569293796180318167898803949356e-17,8.074141684455723920106287224069184509871590987254569293796180318167898803949356e-17,8.074141684455723920106287224069184509871590987254569293796180318167898803949356e-17,8.074141684455723920106287224069184509871590987254569293796180318167898803949356e-17,6
