times,C_5,C_10,C_20,C_30,C_40,C_50,C_60,C_70,C_80,C_90,chi
0.05,9.761377663763484597917575182047429161868406926347383617548203460501099471002817e-18,4.882051307708743504344127833167809339528996133997446396635133680774742970243096e-18,4.882051307708743504344127833167809339528996133997446396635133680774742970243096e-18,4.882051307708743504344127833167809339528996133997446396635133680774742970243096e-18,4.882051307708743504344127833167809339528996133997446396635133680774742970243096e-18,4.882051307708743504344127833167809339528996133997446396635133680774742970243096e-18,4.882051307708743504344127833167809339528996133997446396635133680774742970243096e-18,4.882051307708743504344127833167809339528996133997446396635133680774742970243096e-18,4.882051307708743504344127833167809339528996133997446396635133680774742970243096e-18,4.882051307708743504344127833167809339528996133997446396635133680774742970243096e-18,8
0.1,9.76137768261635273450996206585378189532045179778452226315721418359316885471344e-18,4.882051145750047591626724658622745113760099353614283629321235480347240809351206e-18,4.882051145750047591626724658622745113760099353614283629321235480347240809351206e-18,4.882051145750047591626724658622745113760099353614283629321235480347240809351206e-18,4.882051145750047591626724658622745113760099353614283629321235480347240809351206e-18,4.882051145750047591626724658622745113760099353614283629321235480347240809351206e-18,4.882051145750047591626724658622745113760099353614283629321235480347240809351206e-18,4.882051145750047591626724658622745113760099353614283629321235480347240809351206e-18,4.882051145750047591626724658622745113760099353614283629321235480347240809351206e-18,4.882051145750047591626724658622745113760099353614283629321235480347240809351206e-18,8
0.15,9.761377701343285082410845352123145453498045305833381857230079958753776736557484e-18,4.882050888639514744182549607761438578705470484709683445800898482502816477790475e-18,4.882050888639514744182549607761438578705470484709683445800898482502816477790475e-18,4.882050888639514744182549607761438578705470484709683445800898482502816477790475e-18,4.882050888639514744182549607761438578705470484709683445800898482502816477790475e-18,4.882050888639514744182549607761438578705470484709683445800898482502816477790475e-18,4.882050888639514744182549607761438578705470484709683445800898482502816477790475e-18,4.882050888639514744182549607761438578705470484709683445800898482502816477790475e-18,4.882050888639514744182549607761438578705470484709683445800898482502816477790475e-18,4.882050888639514744182549607761438578705470484709683445800898482502816477790475e-18,8
0.2,9.761377719759811449314949061483770934713340908098818532456775187711173202842474e-18,4.882050536286966759039570258789079067963866958462272604979403922698111273348331e-18,4.882050536286966759039570258789079067963866958462272604979403922698111273348331e-18,4.882050536286966759039570258789079067963866958462272604979403922698111273348331e-18,4.882050536286966759039570258789079067963866958462272604979403922698111273348331e-18,4.882050536286966759039570258789079067963866958462272604979403922698111273348331e-18,4.882050536286966759039570258789079067963866958462272604979403922698111273348331e-18,4.882050536286966759039570258789079067963866958462272604979403922698111273348331e-18,4.882050536286966759039570258789079067963866958462272604979403922698111273348331e-18,4.882050536286966759039570258789079067963866958462272604979403922698111273348331e-18,8
0.25,9.761377737526274830230140278890706069012060822683452682158034008352842647582293e-18,4.882050088525467880478189782434480525427912444755805532192738382946117781102657e-18,4.882050088525467880478189782434480525427912444755805532192738382946117781102657e-18,4.882050088525467880478189782434480525427912444755805532192738382946117781102657e-18,4.882050088525467880478189782434480525427912444755805532192738382946117781102657e-18,4.882050088525467880478189782434480525427912444755805532192738382946117781102657e-18,4.882050088525467880478189782434480525427912444755805532192738382946117781102657e-18,4.882050088525467880478189782434480525427912444755805532192738382946117781102657e-18,4.882050088525467880478189782434480525427912444755805532192738382946117781102657e-18,4.882050088525467880478189782434480525427912444755805532192738382946117781102657e-18,8
0.30000000000000004,9.761377754088355609306840290906061729741765336707502720425821962635382078588009e-18,4.882049545080281890815635719576184030414335959688039781600998878730024443939328e-18,4.882049545080281890815635719576184030414335959688039781600998878730024443939328e-18,4.882049545080281890815635719576184030414335959688039781600998878730024443939328e-18,4.882049545080281890815635719576184030414335959688039781600998878730024443939328e-18,4.882049545080281890815635719576184030414335959688039781600998878730024443939328e-18,4.882049545080281890815635719576184030414335959688039781600998878730024443939328e-18,4.882049545080281890815635719576184030414335959688039781600998878730024443939328e-18,4.882049545080281890815635719576184030414335959688039781600998878730024443939328e-18,4.882049545080281890815635719576184030414335959688039781600998878730024443939328e-18,8
0.35000000000000003,9.761377768591748241069803508042584776348278322271982687663438582603703252971172e-18,4.882048905526802867072742956162644237877323747195517159025435205421672435477376e-18,4.882048905526802867072742956162644237877323747195517159025435205421672435477376e-18,4.882048905526802867072742956162644237877323747195517159025435205421672435477376e-18,4.882048905526802867072742956162644237877323747195517159025435205421672435477376e-18,4.882048905526802867072742956162644237877323747195517159025435205421672435477376e-18,4.882048905526802867072742956162644237877323747195517159025435205421672435477376e-18,4.882048905526802867072742956162644237877323747195517159025435205421672435477376e-18,4.882048905526802867072742956162644237877323747195517159025435205421672435477376e-18,4.882048905526802867072742956162644237877323747195517159025435205421672435477376e-18,8
0.4,9.76137778203495341630252562300017064033828644958575362911012973654578672721982e-18,4.882048170366488270357527110831411014292421469089712851574525132036797003820539e-18,4.882048170366488270357527110831411014292421469089712851574525132036797003820539e-18,4.882048170366488270357527110831411014292421469089712851574525132036797003820539e-18,4.882048170366488270357527110831411014292421469089712851574525132036797003820539e-18,4.882048170366488270357527110831411014292421469089712851574525132036797003820539e-18,4.882048170366488270357527110831411014292421469089712851574525132036797003820539e-18,4.882048170366488270357527110831411014292421469089712851574525132036797003820539e-18,4.882048170366488270357527110831411014292421469089712851574525132036797003820539e-18,4.882048170366488270357527110831411014292421469089712851574525132036797003820539e-18,8
0.45,9.761377796559941115345914038309839756419415708187537622508855861269694287329912e-18,4.882047340673825201851315634523191567304238551976017582156863738873653346672654e-18,4.882047340673825201851315634523191567304238551976017582156863738873653346672654e-18,4.882047340673825201851315634523191567304238551976017582156863738873653346672654e-18,4.882047340673825201851315634523191567304238551976017582156863738873653346672654e-18,4.882047340673825201851315634523191567304238551976017582156863738873653346672654e-18,4.882047340673825201851315634523191567304238551976017582156863738873653346672654e-18,4.882047340673825201851315634523191567304238551976017582156863738873653346672654e-18,4.882047340673825201851315634523191567304238551976017582156863738873653346672654e-18,4.882047340673825201851315634523191567304238551976017582156863738873653346672654e-18,8
0.5,9.761377809917562586081933921323665294988011869291039818152810880746983457356691e-18,4.882046415326637453461842096998247785845054632958327570091405789298732997849584e-18,4.882046415326637453461842096998247785845054632958327570091405789298732997849584e-18,4.882046415326637453461842096998247785845054632958327570091405789298732997849584e-18,4.882046415326637453461842096998247785845054632958327570091405789298732997849584e-18,4.882046415326637453461842096998247785845054632958327570091405789298732997849584e-18,4.882046415326637453461842096998247785845054632958327570091405789298732997849584e-18,4.882046415326637453461842096998247785845054632958327570091405789298732997849584e-18,4.882046415326637453461842096998247785845054632958327570091405789298732997849584e-18,4.882046415326637453461842096998247785845054632958327570091405789298732997849584e-18,8
