Running on host bp1-compute202.data.bp.acrc.priv
Started on Thu Mar  7 16:27:26 GMT 2024
Directory is /user/home/pq20206/XYZ_heisenberg
Slurm job ID is 8067689
This jobs runs on the following machines:
bp1-compute202




Ended on: Thu Mar  7 16:28:34 GMT 2024
After sweep 1: maxlinkdim=6 maxerr=1.71E-13 current_time=0.0 + 0.05im time=38.236
After sweep 2: maxlinkdim=8 maxerr=2.72E-12 current_time=0.0 + 0.1im time=3.142
After sweep 3: maxlinkdim=8 maxerr=1.38E-11 current_time=0.0 + 0.15im time=2.939
After sweep 4: maxlinkdim=8 maxerr=4.35E-11 current_time=0.0 + 0.2im time=2.906
After sweep 5: maxlinkdim=8 maxerr=6.97E-11 current_time=0.0 + 0.25im time=3.336
After sweep 6: maxlinkdim=8 maxerr=2.86E-11 current_time=0.0 + 0.3im time=2.786
After sweep 7: maxlinkdim=8 maxerr=4.70E-11 current_time=0.0 + 0.35im time=2.782
After sweep 8: maxlinkdim=8 maxerr=8.55E-11 current_time=0.0 + 0.4im time=2.709
After sweep 9: maxlinkdim=8 maxerr=7.22E-11 current_time=0.0 + 0.45im time=2.733
After sweep 10: maxlinkdim=8 maxerr=3.60E-11 current_time=0.0 + 0.5im time=2.733
After sweep 11: maxlinkdim=8 maxerr=6.68E-11 current_time=0.0 + 0.55im time=2.752
After sweep 12: maxlinkdim=8 maxerr=9.56E-11 current_time=0.0 + 0.6im time=2.733
After sweep 13: maxlinkdim=8 maxerr=9.09E-11 current_time=0.0 + 0.65im time=2.671
After sweep 14: maxlinkdim=8 maxerr=3.65E-11 current_time=0.0 + 0.7im time=2.688
After sweep 15: maxlinkdim=8 maxerr=5.35E-11 current_time=0.0 + 0.75im time=2.646
After sweep 16: maxlinkdim=8 maxerr=7.61E-11 current_time=0.0 + 0.8im time=2.654
After sweep 17: maxlinkdim=8 maxerr=9.99E-11 current_time=0.0 + 0.85im time=2.663
After sweep 18: maxlinkdim=8 maxerr=3.23E-11 current_time=0.0 + 0.9im time=2.662
After sweep 19: maxlinkdim=8 maxerr=4.63E-11 current_time=0.0 + 0.95im time=2.738
After sweep 20: maxlinkdim=8 maxerr=6.48E-11 current_time=0.0 + 1.0im time=2.719
After sweep 21: maxlinkdim=8 maxerr=8.87E-11 current_time=0.0 + 1.05im time=2.753
After sweep 22: maxlinkdim=8 maxerr=5.00E-11 current_time=0.0 + 1.1im time=3.074
After sweep 23: maxlinkdim=8 maxerr=6.53E-11 current_time=0.0 + 1.15im time=2.811
After sweep 24: maxlinkdim=8 maxerr=8.40E-11 current_time=0.0 + 1.2im time=2.756
After sweep 25: maxlinkdim=9 maxerr=6.53E-11 current_time=0.0 + 1.25im time=2.793
After sweep 26: maxlinkdim=9 maxerr=8.05E-11 current_time=0.0 + 1.3im time=2.986
After sweep 27: maxlinkdim=9 maxerr=9.81E-11 current_time=0.0 + 1.35im time=2.902
After sweep 28: maxlinkdim=10 maxerr=6.14E-11 current_time=0.0 + 1.4im time=2.916
After sweep 29: maxlinkdim=10 maxerr=7.66E-11 current_time=0.0 + 1.45im time=2.903
After sweep 30: maxlinkdim=10 maxerr=9.48E-11 current_time=0.0 + 1.5im time=2.925
After sweep 31: maxlinkdim=11 maxerr=6.20E-11 current_time=0.0 + 1.55im time=2.86
After sweep 32: maxlinkdim=11 maxerr=7.70E-11 current_time=0.0 + 1.6im time=2.965
After sweep 33: maxlinkdim=11 maxerr=9.48E-11 current_time=0.0 + 1.65im time=2.908
After sweep 34: maxlinkdim=11 maxerr=8.90E-11 current_time=0.0 + 1.7im time=2.973
After sweep 35: maxlinkdim=11 maxerr=7.48E-11 current_time=0.0 + 1.75im time=2.971
