times,C_5,C_10,C_20,C_30,C_40,C_50,C_60,C_70,C_80,C_90,chi
0.05,1.167902807891457876338110637693580536667387632678806968287370796445086821156777e-64,1.167902807890968381003210558039227583677039063156240979360464661902521610463995e-64,1.167902807891295104801867158414996594684036023585327926483627026688513620495669e-64,1.167902807891479298084331282116772412969859813357430634928899769252428579171244e-64,1.167902807892381878903438906593148240485833347304794730982612631394836036930401e-64,7.656487052963769712655490101799836970573553038999160727224435127486996598546253e-65,7.656487052963769712655490101799836970573553038999160727224435127486996598546253e-65,7.656487052963769712655490101799836970573553038999160727224435127486996598546253e-65,7.656487052963769712655490101799836970573553038999160727224435127486996598546253e-65,7.656487052963769712655490101799836970573553038999160727224435127486996598546253e-65,2
0.1,1.167902807891399346055129821828638953384254981533276162581775886491168789416461e-64,1.167902807890932115842285845039335824582302694290854457093309314236549342959188e-64,1.167902807891247201054413118917465154763547052618956892419105544190206067140483e-64,1.167902807891457707662943546005208947090202812358502844927988678548966019912568e-64,1.167902807892327396824468291249124807055136383846562885902188550947817235051088e-64,7.656487052963545374683258156265622832917742012994676659246218325646330943749079e-65,7.656487052963545374683258156265622832917742012994676659246218325646330943749079e-65,7.656487052963545374683258156265622832917742012994676659246218325646330943749079e-65,7.656487052963545374683258156265622832917742012994676659246218325646330943749079e-65,7.656487052963545374683258156265622832917742012994676659246218325646330943749079e-65,2
0.15,1.167902807891321755478267645177707747879237634193379417266001654275600217080596e-64,1.167902807890829223990359915132666182499562298905339207870217397602860583992063e-64,1.167902807891172815305725684345594151225041291364838490931591552000932718444578e-64,1.167902807891419587075180824433229702646433419969770965707630034025664938721469e-64,1.167902807892289950937373936430631920920106272739047500119358378008999358836822e-64,7.656487052963138867530567187290091951902325041061739363135314195995199945206831e-65,7.656487052963138867530567187290091951902325041061739363135314195995199945206831e-65,7.656487052963138867530567187290091951902325041061739363135314195995199945206831e-65,7.656487052963138867530567187290091951902325041061739363135314195995199945206831e-65,7.656487052963138867530567187290091951902325041061739363135314195995199945206831e-65,2
0.2,1.167902807891282622839502373475498965972359319882822797889350302375574328424247e-64,1.167902807890800717887121419797867543955327664773942360134639473158445173720844e-64,1.167902807891194405727113420457157617104698292363766280932502642704395277703253e-64,1.16790280789137522550623571039150164384682567572978652219013302734589421149466e-64,1.167902807892285565383029552532970591913300944411140292775423312709858526487404e-64,7.656487052962803203948054727430628693304532603656533877964899582714805469232111e-65,7.656487052962803203948054727430628693304532603656533877964899582714805469232111e-65,7.656487052962803203948054727430628693304532603656533877964899582714805469232111e-65,7.656487052962803203948054727430628693304532603656533877964899582714805469232111e-65,7.656487052962803203948054727430628693304532603656533877964899582714805469232111e-65,2
0.25,1.167902807891209586492151672410600679051332121191137383276893253355267389682009e-64,1.167902807890812356473650746295507224781080266874926871932005607990780459571223e-64,1.167902807891131827240122404071297883969129953530936514601736903243578016101936e-64,1.167902807891338622994976814014866705597719666223791753204213443887680341501437e-64,1.167902807892269709917322933826041171657927834302552696993504230474503209531814e-64,7.656487052962261756661690407757826150541259375480297894348301136167033475323142e-65,7.656487052962261756661690407757826150541259375480297894348301136167033475323142e-65,7.656487052962261756661690407757826150541259375480297894348301136167033475323142e-65,7.656487052962261756661690407757826150541259375480297894348301136167033475323142e-65,7.656487052962261756661690407757826150541259375480297894348301136167033475323142e-65,2
0.30000000000000004,1.167902807891169947827885125643277128412899345919668393822095547766879097293035e-64,1.167902807890803922715296161876927745921839250859720703962899713184740397360803e-64,1.167902807891153417661510140182861349848786954529864304602647993947040575360612e-64,1.167902807891343345899655381289271213758894635192307207266912744979062776339272e-64,1.167902807892222986896038536147110858777732605578310526444657573249041264886087e-64,7.656487052962032358434445711572464325569903739866690125588620797442743783199715e-65,7.656487052962032358434445711572464325569903739866690125588620797442743783199715e-65,7.656487052962032358434445711572464325569903739866690125588620797442743783199715e-65,7.656487052962032358434445711572464325569903739866690125588620797442743783199715e-65,7.656487052962032358434445711572464325569903739866690125588620797442743783199715e-65,2
0.35000000000000003,1.167902807891117152500585427182969590754050585664477782335492646281068307855805e-64,1.167902807890748091234988813025931595873663724839055872007418689568755185527822e-64,1.167902807891129128437448937057352450734172828406070540851623016905645196194602e-64,1.167902807891304719286391384652177200583570781842662957968407746767399291415548e-64,1.167902807892199203697478608086716728394672940415429132771778949896008289452702e-64,7.656487052961969948622621786874976182011520221354164482617237175878047322842607e-65,7.656487052961969948622621786874976182011520221354164482617237175878047322842607e-65,7.656487052961969948622621786874976182011520221354164482617237175878047322842607e-65,7.656487052961969948622621786874976182011520221354164482617237175878047322842607e-65,7.656487052961969948622621786874976182011520221354164482617237175878047322842607e-65,2
0.4,1.167902807891049682433748751834333759880122457542828438582645487832747810172444e-64,1.16790280789069445253185365612376611032889086298234464372390519860234038986955e-64,1.167902807891054911363928594173853036772851887472256262723491142612492648742905e-64,1.167902807891237586569888892680284548864012294361621860934324824111320396220604e-64,1.167902807892149444523186560017097803125150945925712741754054170540371922411224e-64,7.656487052961865370019024940084590644156931622765607999800324080283150551433397e-65,7.656487052961865370019024940084590644156931622765607999800324080283150551433397e-65,7.656487052961865370019024940084590644156931622765607999800324080283150551433397e-65,7.656487052961865370019024940084590644156931622765607999800324080283150551433397e-65,7.656487052961865370019024940084590644156931622765607999800324080283150551433397e-65,2
0.45,1.167902807890953537588506489462527700884774874969478123734838287043891100973655e-64,1.167902807890586331749747883877577191353421037667401570359967627188906792331965e-64,1.167902807891009369068813838313523850932950400990142955690319310659876312806636e-64,1.16790280789119052619827031162461105682944742499677144366671393109361684908646e-64,1.167902807892071853946324383366166597620133598585815996438279938324803350075359e-64,7.656487052961614044020058324410922174151549345512464194320968415063156697562879e-65,7.656487052961614044020058324410922174151549345512464194320968415063156697562879e-65,7.656487052961614044020058324410922174151549345512464194320968415063156697562879e-65,7.656487052961614044020058324410922174151549345512464194320968415063156697562879e-65,7.656487052961614044020058324410922174151549345512464194320968415063156697562879e-65,2
0.5,1.167902807890930091740280744778876749656084850447204976780723899483099728028688e-64,1.167902807890511271300392082552219829506175995132066675434925163415150238659226e-64,1.167902807891009200393646746625152261355765580669838832330937192763755511562428e-64,1.167902807891188839446599394740895161057599221793730210072892752132408836644376e-64,1.167902807892018552593523409840744291229730377369713014873530683150630156905504e-64,7.656487052961241271900785693109709208573096437640351570086487864636185947862311e-65,7.656487052961241271900785693109709208573096437640351570086487864636185947862311e-65,7.656487052961241271900785693109709208573096437640351570086487864636185947862311e-65,7.656487052961241271900785693109709208573096437640351570086487864636185947862311e-65,7.656487052961241271900785693109709208573096437640351570086487864636185947862311e-65,2
