times,C_5,C_10,C_20,C_30,C_40,C_50,C_60,C_70,C_80,C_90,chi
0.05,1.215121080991493988130988711329248429472989580005625826119458032262504818682425e-28,1.21512111651255518801384398538535304349755431177561299556190973990742641914261e-28,7.966025085993799790838614183672892959515244710978415433693490205076201494190265e-29,1.215121103905990138406273250546501819074217126149987112755572033572644375602062e-28,1.215121080991493988130988711329248429472989580005625826119458032262504818682425e-28,1.215121080991493988130988711329248429472989580005625826119458032262504818682425e-28,1.215121080991493988130988711329248429472989580005625826119458032262504818682425e-28,1.215121080991493988130988711329248429472989580005625826119458032262504818682425e-28,1.215121080991493988130988711329248429472989580005625826119458032262504818682425e-28,1.215121080991493988130988711329248429472989580005625826119458032262504818682425e-28,4
0.1,1.215137849590710109365880764660151564198311813292785144743892431718132666313391e-28,1.215137918812721134437510258754350040599301456606045007505369449148906410844602e-28,7.966095665961803672097777489685010246414892419543447807806407803680403504221347e-29,1.215137906206055863963771012998586351036167376178709960364948734406128301780391e-28,1.215137849590710109365880764660151564198311813292785144743892431718132666313391e-28,1.215137849590710109365880764660151564198311813292785144743892431718132666313391e-28,1.215137849590710109365880764660151564198311813292785144743892431718132666313391e-28,1.215137849590710109365880764660151564198311813292785144743892431718132666313391e-28,1.215137849590710109365880764660151564198311813292785144743892431718132666313391e-28,1.215137849590710109365880764660151564198311813292785144743892431718132666313391e-28,4
0.15,1.215165517087532173140662693228515312579820537843121178782758580632930320926562e-28,1.215165616493844844076221179585169143397860006619434454959864481615800898737199e-28,7.966212261364862056110301757484187358590973892072474675560430447565950091135846e-29,1.215165603886956262679207130980983048288332845157418585276386325319635583271267e-28,1.215165517087532173140662693228515312579820537843121178782758580632930320926562e-28,1.215165517087532173140662693228515312579820537843121178782758580632930320926562e-28,1.215165517087532173140662693228515312579820537843121178782758580632930320926562e-28,1.215165517087532173140662693228515312579820537843121178782758580632930320926562e-28,1.215165517087532173140662693228515312579820537843121178782758580632930320926562e-28,1.215165517087532173140662693228515312579820537843121178782758580632930320926562e-28,4
0.2,1.21520383088506600162489899997951027277419777123074648772051822441248821501502e-28,1.215203955545693942576999643596606029977102215096252949770648487688218781859438e-28,7.966373871783504589482201816818325126844036536535653944774055528008438269681191e-29,1.215203942938430710022563711900337766526186661657377989254390226135316496617125e-28,1.21520383088506600162489899997951027277419777123074648772051822441248821501502e-28,1.21520383088506600162489899997951027277419777123074648772051822441248821501502e-28,1.21520383088506600162489899997951027277419777123074648772051822441248821501502e-28,1.21520383088506600162489899997951027277419777123074648772051822441248821501502e-28,1.21520383088506600162489899997951027277419777123074648772051822441248821501502e-28,1.21520383088506600162489899997951027277419777123074648772051822441248821501502e-28,4
0.25,1.21525244884306439345004700558869541626582988503332731388408488089581551794098e-28,1.215252592869472318671714970884193383936380369055015253863298431599471136912126e-28,7.966579135571830892132413137106094320302371846233811368192794604389076086733631e-29,1.215252580261816049924005214495872432811943659939638805477582644902906429157548e-28,1.21525244884306439345004700558869541626582988503332731388408488089581551794098e-28,1.21525244884306439345004700558869541626582988503332731388408488089581551794098e-28,1.21525244884306439345004700558869541626582988503332731388408488089581551794098e-28,1.21525244884306439345004700558869541626582988503332731388408488089581551794098e-28,1.21525244884306439345004700558869541626582988503332731388408488089581551794098e-28,1.21525244884306439345004700558869541626582988503332731388408488089581551794098e-28,4
0.30000000000000004,1.215310950389989200286512527531472540176049799134248712043090756466806883102916e-28,1.215311107337547178331798192936989937613257175043132200364509497231525422551029e-28,7.966826392025037366726385339896758967808178012659723281040773950446455390662914e-29,1.215311094729405051380537735973838310967702186206718259558306284986577104081061e-28,1.215310950389989200286512527531472540176049799134248712043090756466806883102916e-28,1.215310950389989200286512527531472540176049799134248712043090756466806883102916e-28,1.215310950389989200286512527531472540176049799134248712043090756466806883102916e-28,1.215310950389989200286512527531472540176049799134248712043090756466806883102916e-28,1.215310950389989200286512527531472540176049799134248712043090756466806883102916e-28,1.215310950389989200286512527531472540176049799134248712043090756466806883102916e-28,5
0.35000000000000003,1.215378822327971332356924688815767573683349723463549528207596300872022184380236e-28,1.215378985639500726449377797158029224804112001511508073583391591423789486188338e-28,7.96711357663580642669578811702317585973855556984729593854730384665945480985802e-29,1.215378973030724764176733938937357376793443317810593444695638793564960010592201e-28,1.215378822327971332356924688815767573683349723463549528207596300872022184380236e-28,1.215378822327971332356924688815767573683349723463549528207596300872022184380236e-28,1.215378822327971332356924688815767573683349723463549528207596300872022184380236e-28,1.215378822327971332356924688815767573683349723463549528207596300872022184380236e-28,1.215378822327971332356924688815767573683349723463549528207596300872022184380236e-28,1.215378822327971332356924688815767573683349723463549528207596300872022184380236e-28,6
0.4,1.215455480624059018248528012844330459779210912135433425416862101541311862932908e-28,1.215455644002258157533978661947978904131707524751248746832749408147857813331828e-28,7.9674383502425333541359511716083271295600367562181445637502150383062589990334e-29,1.215455631392860242950928876918548267982791444674626686484714137528891680548569e-28,1.215455480624059018248528012844330459779210912135433425416862101541311862932908e-28,1.215455480624059018248528012844330459779210912135433425416862101541311862932908e-28,1.215455480624059018248528012844330459779210912135433425416862101541311862932908e-28,1.215455480624059018248528012844330459779210912135433425416862101541311862932908e-28,1.215455480624059018248528012844330459779210912135433425416862101541311862932908e-28,1.215455480624059018248528012844330459779210912135433425416862101541311862932908e-28,6
0.45,1.215540290075849428241008437695247804341992568468448850726454617796507299762321e-28,1.215540447785685520701953801371124272700515195084588225347949707839112363149878e-28,7.967798213130248818200328232566274156368000460402396177253464661779072238860337e-29,1.215540435175631125814337126040307287716419455098783987885384127111393479016982e-28,1.215540290075849428241008437695247804341992568468448850726454617796507299762321e-28,1.215540290075849428241008437695247804341992568468448850726454617796507299762321e-28,1.215540290075849428241008437695247804341992568468448850726454617796507299762321e-28,1.215540290075849428241008437695247804341992568468448850726454617796507299762321e-28,1.215540290075849428241008437695247804341992568468448850726454617796507299762321e-28,1.215540290075849428241008437695247804341992568468448850726454617796507299762321e-28,6
0.5,1.215632538664771046337509868066333497596024888259308667959246260510019471538269e-28,1.215632685764343988686750662560796686909624474747057583634865825759229949684648e-28,7.968190321086276949240389058242466802573921070242713190900939329063939128307802e-29,1.215632673153472356534739753914216982832554055673490697407797861033422343328587e-28,1.215632538664771046337509868066333497596024888259308667959246260510019471538269e-28,1.215632538664771046337509868066333497596024888259308667959246260510019471538269e-28,1.215632538664771046337509868066333497596024888259308667959246260510019471538269e-28,1.215632538664771046337509868066333497596024888259308667959246260510019471538269e-28,1.215632538664771046337509868066333497596024888259308667959246260510019471538269e-28,1.215632538664771046337509868066333497596024888259308667959246260510019471538269e-28,6
