times,C_5,C_10,C_20,C_30,C_40,C_50,C_60,C_70,C_80,C_90,chi
0.05,3.967293434025219295345770933361154888990938773058186472905755717655010609277871e-38,1.469367938527860429009635551291731370920389427012718314072220923882669215700242e-38,1.469367938527860429009635551291731370920389427012718314072220923882669215700242e-38,1.469367938527860429009635551291731370920389427012718314072220923882669215700242e-38,1.469367938527860429009635551291731370920389427012718314072220923882669215700242e-38,1.469367938527860429009635551291731370920389427012718314072220923882669215700242e-38,1.469367938527860429009635551291731370920389427012718314072220923882669215700242e-38,1.469367938527860429009635551291731370920389427012718314072220923882669215700242e-38,1.469367938527860429009635551291731370920389427012718314072220923882669215700242e-38,1.469367938527860429009635551291731370920389427012718314072220923882669215700242e-38,8
0.1,6.208109808327036361557336669527908321815320606408140667895046192492470812364497e-38,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,8
0.15,2.663393340502073748960753992915205968112917645327982623729264389112873312463373e-39,6.269207542410374021898127537398712391660274975473945905501396939463283380929798e-39,6.269207542410374021898127537398712391660274975473945905501396939463283380929798e-39,6.269207542410374021898127537398712391660274975473945905501396939463283380929798e-39,6.269207542410374021898127537398712391660274975473945905501396939463283380929798e-39,6.269207542410374021898127537398712391660274975473945905501396939463283380929798e-39,6.269207542410374021898127537398712391660274975473945905501396939463283380929798e-39,6.269207542410374021898127537398712391660274975473945905501396939463283380929798e-39,6.269207542410374021898127537398712391660274975473945905501396939463283380929798e-39,6.269207542410374021898127537398712391660274975473945905501396939463283380929798e-39,8
0.2,1.03454121351604881649699910858025239410636202623117139034566603823523014527474e-37,1.256434471160462698746120632417371267517844969049168180507876216286743515263561e-37,1.256434471160462698746120632417371267517844969049168180507876216286743515263561e-37,1.256434471160462698746120632417371267517844969049168180507876216286743515263561e-37,1.256434471160462698746120632417371267517844969049168180507876216286743515263561e-37,1.256434471160462698746120632417371267517844969049168180507876216286743515263561e-37,1.256434471160462698746120632417371267517844969049168180507876216286743515263561e-37,1.256434471160462698746120632417371267517844969049168180507876216286743515263561e-37,1.256434471160462698746120632417371267517844969049168180507876216286743515263561e-37,1.256434471160462698746120632417371267517844969049168180507876216286743515263561e-37,8
0.25,1.102026434552214819956254535993339464577449969750739814168505942156501066075937e-37,1.359248300007362136454309825010249422601033765715120935223307342965416797403955e-38,1.359248300007362136454309825010249422601033765715120935223307342965416797403955e-38,1.359248300007362136454309825010249422601033765715120935223307342965416797403955e-38,1.359248300007362136454309825010249422601033765715120935223307342965416797403955e-38,1.359248300007362136454309825010249422601033765715120935223307342965416797403955e-38,1.359248300007362136454309825010249422601033765715120935223307342965416797403955e-38,1.359248300007362136454309825010249422601033765715120935223307342965416797403955e-38,1.359248300007362136454309825010249422601033765715120935223307342965416797403955e-38,1.359248300007362136454309825010249422601033765715120935223307342965416797403955e-38,10
0.30000000000000004,7.71418511264203239354904348103249088945823823227442689029200493477841855426493e-38,7.606276870891433983492256089492696369108269833191019511247134228047144510034858e-38,7.606276870891433983492256089492696369108269833191019511247134228047144510034858e-38,7.606276870891433983492256089492696369108269833191019511247134228047144510034858e-38,7.606276870891433983492256089492696369108269833191019511247134228047144510034858e-38,7.606276870891433983492256089492696369108269833191019511247134228047144510034858e-38,7.606276870891433983492256089492696369108269833191019511247134228047144510034858e-38,7.606276870891433983492256089492696369108269833191019511247134228047144510034858e-38,7.606276870891433983492256089492696369108269833191019511247134228047144510034858e-38,7.606276870891433983492256089492696369108269833191019511247134228047144510034858e-38,11
0.35000000000000003,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,11
0.4,4.791588758524562283658246347855062215853033739338000737354242005799861406352788e-39,1.033292824740145772715190817578979171182157476103396765020231484689909246113103e-38,1.033292824740145772715190817578979171182157476103396765020231484689909246113103e-38,1.033292824740145772715190817578979171182157476103396765020231484689909246113103e-38,1.033292824740145772715190817578979171182157476103396765020231484689909246113103e-38,1.033292824740145772715190817578979171182157476103396765020231484689909246113103e-38,1.033292824740145772715190817578979171182157476103396765020231484689909246113103e-38,1.033292824740145772715190817578979171182157476103396765020231484689909246113103e-38,1.033292824740145772715190817578979171182157476103396765020231484689909246113103e-38,1.033292824740145772715190817578979171182157476103396765020231484689909246113103e-38,13
0.45,8.684947443494474361243703827483561286480034357018786638045376127420687931715332e-38,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13
0.5,1.06549130033401803855365638592081116378614215525617864623648960171777250280375e-38,2.691223515550170111772805560019382307450516223643484614993971600760474185254027e-38,2.691223515550170111772805560019382307450516223643484614993971600760474185254027e-38,2.691223515550170111772805560019382307450516223643484614993971600760474185254027e-38,2.691223515550170111772805560019382307450516223643484614993971600760474185254027e-38,2.691223515550170111772805560019382307450516223643484614993971600760474185254027e-38,2.691223515550170111772805560019382307450516223643484614993971600760474185254027e-38,2.691223515550170111772805560019382307450516223643484614993971600760474185254027e-38,2.691223515550170111772805560019382307450516223643484614993971600760474185254027e-38,2.691223515550170111772805560019382307450516223643484614993971600760474185254027e-38,14
