times,C_5,C_10,C_20,C_30,C_40,C_50,C_60,C_70,C_80,C_90,chi
0.05,1.756814374706903438516699427702969850481016759656985205037382587527276392903646e-37,1.487738314170874709107870864804446898829712963652566275668295214927657399028702e-37,1.487738314170874709107870864804446898829712963652566275668295214927657399028702e-37,1.487738314170874709107870864804446898829712963652566275668295214927657399028702e-37,1.487738314170874709107870864804446898829712963652566275668295214927657399028702e-37,1.487738314170874709107870864804446898829712963652566275668295214927657399028702e-37,1.487738314170874709107870864804446898829712963652566275668295214927657399028702e-37,1.487738314170874709107870864804446898829712963652566275668295214927657399028702e-37,1.487738314170874709107870864804446898829712963652566275668295214927657399028702e-37,1.487738314170874709107870864804446898829712963652566275668295214927657399028702e-37,22
0.1,2.147146735625231381986023158735958285566890715046547364771437049490272564981115e-37,2.000406695061448577240784830838990144528147978590085000155430200248310550044719e-37,2.000406695061448577240784830838990144528147978590085000155430200248310550044719e-37,2.000406695061448577240784830838990144528147978590085000155430200248310550044719e-37,2.000406695061448577240784830838990144528147978590085000155430200248310550044719e-37,2.000406695061448577240784830838990144528147978590085000155430200248310550044719e-37,2.000406695061448577240784830838990144528147978590085000155430200248310550044719e-37,2.000406695061448577240784830838990144528147978590085000155430200248310550044719e-37,2.000406695061448577240784830838990144528147978590085000155430200248310550044719e-37,2.000406695061448577240784830838990144528147978590085000155430200248310550044719e-37,32
0.15,4.573881235445023636919584521586527243051743968579453406583479124443086735846844e-37,1.581177655100219949327580007460421810463819435014045418553385597992936564280198e-37,1.581177655100219949327580007460421810463819435014045418553385597992936564280198e-37,1.581177655100219949327580007460421810463819435014045418553385597992936564280198e-37,1.581177655100219949327580007460421810463819435014045418553385597992936564280198e-37,1.581177655100219949327580007460421810463819435014045418553385597992936564280198e-37,1.581177655100219949327580007460421810463819435014045418553385597992936564280198e-37,1.581177655100219949327580007460421810463819435014045418553385597992936564280198e-37,1.581177655100219949327580007460421810463819435014045418553385597992936564280198e-37,1.581177655100219949327580007460421810463819435014045418553385597992936564280198e-37,32
0.2,2.541260370246915563105383005648014320494218107155090247391605459590426026931538e-37,2.752596805780490750610535664579751153362619091350635423712169038776850097161637e-37,2.752596805780490750610535664579751153362619091350635423712169038776850097161637e-37,2.752596805780490750610535664579751153362619091350635423712169038776850097161637e-37,2.752596805780490750610535664579751153362619091350635423712169038776850097161637e-37,2.752596805780490750610535664579751153362619091350635423712169038776850097161637e-37,2.752596805780490750610535664579751153362619091350635423712169038776850097161637e-37,2.752596805780490750610535664579751153362619091350635423712169038776850097161637e-37,2.752596805780490750610535664579751153362619091350635423712169038776850097161637e-37,2.752596805780490750610535664579751153362619091350635423712169038776850097161637e-37,32
0.25,1.378307304368703729965316826501113402470639387499931491676294292756434264116989e-37,9.064737442644730466537078549763718317422813647439750365606814715646790758822482e-38,9.064737442644730466537078549763718317422813647439750365606814715646790758822482e-38,9.064737442644730466537078549763718317422813647439750365606814715646790758822482e-38,9.064737442644730466537078549763718317422813647439750365606814715646790758822482e-38,9.064737442644730466537078549763718317422813647439750365606814715646790758822482e-38,9.064737442644730466537078549763718317422813647439750365606814715646790758822482e-38,9.064737442644730466537078549763718317422813647439750365606814715646790758822482e-38,9.064737442644730466537078549763718317422813647439750365606814715646790758822482e-38,9.064737442644730466537078549763718317422813647439750365606814715646790758822482e-38,32
0.30000000000000004,2.366887721916928914916751844020410918704838432791924900340647434395821603561254e-37,1.381033670660890753102618419533804587625074325781697921765724713498697789225598e-37,1.381033670660890753102618419533804587625074325781697921765724713498697789225598e-37,1.381033670660890753102618419533804587625074325781697921765724713498697789225598e-37,1.381033670660890753102618419533804587625074325781697921765724713498697789225598e-37,1.381033670660890753102618419533804587625074325781697921765724713498697789225598e-37,1.381033670660890753102618419533804587625074325781697921765724713498697789225598e-37,1.381033670660890753102618419533804587625074325781697921765724713498697789225598e-37,1.381033670660890753102618419533804587625074325781697921765724713498697789225598e-37,1.381033670660890753102618419533804587625074325781697921765724713498697789225598e-37,32
0.35000000000000003,1.869828098961794800436165167616029572739176231741218197491719155349706900530124e-37,1.281334760144372796911188806248802742252958240923930372987860811870860370032583e-37,1.281334760144372796911188806248802742252958240923930372987860811870860370032583e-37,1.281334760144372796911188806248802742252958240923930372987860811870860370032583e-37,1.281334760144372796911188806248802742252958240923930372987860811870860370032583e-37,1.281334760144372796911188806248802742252958240923930372987860811870860370032583e-37,1.281334760144372796911188806248802742252958240923930372987860811870860370032583e-37,1.281334760144372796911188806248802742252958240923930372987860811870860370032583e-37,1.281334760144372796911188806248802742252958240923930372987860811870860370032583e-37,1.281334760144372796911188806248802742252958240923930372987860811870860370032583e-37,32
0.4,1.19272498578893060903769233353445847823278486341969399972930479525423663744732e-36,1.799286958475441768441712511292860760935927278409978960091860725001281277045256e-37,1.799286958475441768441712511292860760935927278409978960091860725001281277045256e-37,1.799286958475441768441712511292860760935927278409978960091860725001281277045256e-37,1.799286958475441768441712511292860760935927278409978960091860725001281277045256e-37,1.799286958475441768441712511292860760935927278409978960091860725001281277045256e-37,1.799286958475441768441712511292860760935927278409978960091860725001281277045256e-37,1.799286958475441768441712511292860760935927278409978960091860725001281277045256e-37,1.799286958475441768441712511292860760935927278409978960091860725001281277045256e-37,1.799286958475441768441712511292860760935927278409978960091860725001281277045256e-37,32
0.45,4.045384994845101738562702298057530461860821659555187365878280063115820652224544e-38,6.341241009709325523732134545743844987229005091781551540288728250083819989504703e-38,6.341241009709325523732134545743844987229005091781551540288728250083819989504703e-38,6.341241009709325523732134545743844987229005091781551540288728250083819989504703e-38,6.341241009709325523732134545743844987229005091781551540288728250083819989504703e-38,6.341241009709325523732134545743844987229005091781551540288728250083819989504703e-38,6.341241009709325523732134545743844987229005091781551540288728250083819989504703e-38,6.341241009709325523732134545743844987229005091781551540288728250083819989504703e-38,6.341241009709325523732134545743844987229005091781551540288728250083819989504703e-38,6.341241009709325523732134545743844987229005091781551540288728250083819989504703e-38,32
0.5,1.223040661421532161809911729126804026852870510566617667791433632373809814453125e-12,7.094866050055790789258542520870796539170201019094834944673882037424425518442378e-38,7.094866050055790789258542520870796539170201019094834944673882037424425518442378e-38,7.094866050055790789258542520870796539170201019094834944673882037424425518442378e-38,7.094866050055790789258542520870796539170201019094834944673882037424425518442378e-38,7.094866050055790789258542520870796539170201019094834944673882037424425518442378e-38,7.094866050055790789258542520870796539170201019094834944673882037424425518442378e-38,7.094866050055790789258542520870796539170201019094834944673882037424425518442378e-38,7.094866050055790789258542520870796539170201019094834944673882037424425518442378e-38,7.094866050055790789258542520870796539170201019094834944673882037424425518442378e-38,32
